iter	Passed	Remaining
0	70	70746
1	77	38817
2	83	27816
3	90	22535
4	97	19447
5	104	17238
6	110	15712
7	116	14476
8	123	13606
9	130	12898
10	137	12349
11	143	11831
12	150	11406
13	156	11027
14	162	10696
15	169	10400
16	175	10164
17	182	9962
18	189	9762
19	196	9607
20	202	9428
21	208	9266
22	214	9118
23	220	8979
24	227	8862
25	233	8741
26	239	8633
27	247	8599
28	254	8506
29	260	8419
30	266	8335
31	273	8275
32	280	8223
33	287	8170
34	293	8102
35	301	8061
36	307	8002
37	313	7940
38	319	7884
39	326	7837
40	333	7808
41	340	7774
42	347	7727
43	353	7677
44	359	7633
45	365	7587
46	372	7548
47	378	7504
48	384	7460
49	391	7436
50	397	7400
51	404	7367
52	410	7332
53	417	7310
54	423	7280
55	429	7244
56	435	7212
57	444	7221
58	450	7190
59	457	7173
60	464	7148
61	470	7117
62	476	7091
63	483	7076
64	489	7048
65	496	7030
66	503	7004
67	509	6983
68	516	6962
69	523	6960
70	530	6937
71	536	6918
72	543	6905
73	550	6887
74	558	6887
75	566	6888
76	575	6899
77	589	6963
78	600	6995
79	610	7018
80	621	7054
81	633	7086
82	640	7075
83	647	7057
84	653	7039
85	660	7021
86	667	7004
87	674	6987
88	680	6963
89	686	6946
90	694	6936
91	701	6927
92	708	6912
93	715	6894
94	721	6877
95	728	6861
96	735	6849
97	743	6838
98	749	6825
99	757	6817
100	763	6797
101	770	6785
102	777	6772
103	785	6768
104	796	6788
105	803	6776
106	825	6886
107	832	6872
108	839	6863
109	845	6843
110	852	6826
111	858	6806
112	865	6790
113	871	6770
114	876	6748
115	882	6728
116	889	6709
117	895	6690
118	901	6674
119	907	6656
120	913	6638
121	919	6619
122	926	6606
123	932	6588
124	938	6571
125	945	6555
126	951	6538
127	957	6522
128	963	6506
129	969	6490
130	975	6473
131	982	6459
132	988	6441
133	994	6426
134	1000	6411
135	1006	6396
136	1013	6381
137	1019	6367
138	1025	6352
139	1032	6342
140	1039	6329
141	1045	6316
142	1052	6307
143	1058	6293
144	1065	6280
145	1071	6265
146	1077	6250
147	1083	6237
148	1090	6228
149	1096	6214
150	1102	6201
151	1108	6186
152	1116	6179
153	1123	6169
154	1129	6158
155	1136	6148
156	1142	6135
157	1149	6126
158	1156	6117
159	1163	6107
160	1169	6094
161	1176	6084
162	1182	6073
163	1189	6062
164	1195	6050
165	1201	6038
166	1208	6027
167	1214	6016
168	1221	6006
169	1227	5995
170	1233	5982
171	1240	5970
172	1246	5960
173	1253	5951
174	1259	5939
175	1265	5926
176	1272	5917
177	1279	5910
178	1286	5900
179	1292	5889
180	1298	5877
181	1305	5868
182	1312	5861
183	1319	5851
184	1325	5840
185	1332	5830
186	1338	5818
187	1344	5807
188	1350	5795
189	1356	5784
190	1363	5775
191	1369	5763
192	1376	5753
193	1382	5742
194	1388	5731
195	1394	5720
196	1400	5709
197	1406	5698
198	1413	5689
199	1420	5681
200	1426	5670
201	1432	5659
202	1438	5649
203	1444	5638
204	1451	5629
205	1457	5618
206	1464	5608
207	1470	5598
208	1476	5588
209	1482	5577
210	1489	5569
211	1495	5558
212	1501	5548
213	1507	5537
214	1516	5538
215	1523	5529
216	1530	5520
217	1536	5510
218	1543	5502
219	1549	5491
220	1554	5481
221	1561	5472
222	1567	5460
223	1574	5453
224	1580	5443
225	1587	5435
226	1593	5425
227	1599	5415
228	1605	5406
229	1612	5397
230	1618	5388
231	1624	5379
232	1631	5370
233	1637	5361
234	1644	5352
235	1650	5344
236	1657	5335
237	1664	5328
238	1671	5322
239	1678	5316
240	1684	5306
241	1691	5297
242	1698	5290
243	1704	5282
244	1711	5273
245	1717	5263
246	1723	5253
247	1729	5243
248	1735	5234
249	1741	5224
250	1747	5215
251	1754	5206
252	1760	5197
253	1766	5187
254	1772	5179
255	1779	5171
256	1785	5161
257	1792	5154
258	1798	5145
259	1804	5136
260	1811	5129
261	1817	5120
262	1824	5112
263	1831	5105
264	1837	5096
265	1843	5087
266	1849	5078
267	1856	5070
268	1862	5061
269	1868	5051
270	1874	5042
271	1880	5033
272	1886	5024
273	1892	5015
274	1899	5006
275	1905	4997
276	1911	4989
277	1918	4981
278	1924	4972
279	1930	4963
280	1936	4955
281	1942	4946
282	1948	4937
283	1955	4929
284	1961	4920
285	1967	4911
286	1973	4902
287	1980	4896
288	1986	4887
289	1992	4879
290	1999	4871
291	2005	4862
292	2012	4854
293	2018	4846
294	2024	4838
295	2030	4829
296	2037	4823
297	2044	4817
298	2051	4808
299	2057	4800
300	2063	4792
301	2070	4785
302	2076	4777
303	2083	4769
304	2089	4760
305	2095	4752
306	2101	4743
307	2107	4735
308	2113	4726
309	2120	4718
310	2126	4710
311	2133	4704
312	2139	4695
313	2145	4687
314	2152	4679
315	2157	4670
316	2164	4663
317	2170	4655
318	2177	4647
319	2183	4639
320	2189	4630
321	2195	4623
322	2201	4615
323	2208	4607
324	2214	4598
325	2220	4590
326	2226	4582
327	2233	4575
328	2239	4568
329	2246	4560
330	2253	4553
331	2259	4545
332	2265	4537
333	2271	4529
334	2277	4521
335	2284	4513
336	2298	4521
337	2311	4526
338	2320	4524
339	2333	4530
340	2379	4597
341	2421	4659
342	2440	4673
343	2446	4665
344	2452	4656
345	2458	4647
346	2465	4639
347	2471	4630
348	2477	4621
349	2483	4612
350	2489	4603
351	2496	4595
352	2503	4587
353	2508	4578
354	2515	4570
355	2521	4561
356	2527	4552
357	2533	4543
358	2539	4534
359	2545	4525
360	2552	4517
361	2558	4508
362	2564	4500
363	2571	4492
364	2577	4484
365	2583	4475
366	2589	4466
367	2596	4458
368	2602	4450
369	2608	4441
370	2615	4433
371	2620	4424
372	2627	4416
373	2633	4408
374	2639	4399
375	2645	4391
376	2652	4382
377	2658	4374
378	2665	4366
379	2671	4358
380	2677	4350
381	2683	4341
382	2689	4332
383	2696	4324
384	2702	4316
385	2709	4309
386	2715	4300
387	2721	4292
388	2727	4283
389	2733	4275
390	2739	4267
391	2745	4258
392	2752	4251
393	2759	4243
394	2765	4235
395	2771	4226
396	2777	4219
397	2783	4210
398	2790	4202
399	2796	4194
400	2802	4186
401	2808	4177
402	2815	4170
403	2822	4163
404	2829	4157
405	2836	4149
406	2842	4141
407	2848	4133
408	2855	4126
409	2861	4117
410	2867	4109
411	2874	4101
412	2880	4093
413	2886	4085
414	2892	4077
415	2898	4069
416	2904	4061
417	2910	4052
418	2917	4045
419	2923	4036
420	2929	4028
421	2935	4020
422	2941	4012
423	2947	4004
424	2953	3996
425	2960	3988
426	2966	3980
427	2972	3972
428	2978	3963
429	2984	3956
430	2990	3948
431	2996	3940
432	3003	3932
433	3009	3924
434	3016	3917
435	3023	3910
436	3029	3902
437	3036	3895
438	3042	3887
439	3049	3880
440	3055	3872
441	3061	3865
442	3067	3857
443	3073	3849
444	3080	3841
445	3086	3833
446	3092	3825
447	3099	3819
448	3106	3811
449	3112	3804
450	3118	3795
451	3124	3788
452	3130	3780
453	3137	3772
454	3143	3765
455	3149	3757
456	3156	3750
457	3163	3743
458	3169	3735
459	3174	3727
460	3181	3719
461	3187	3711
462	3193	3703
463	3199	3695
464	3205	3687
465	3211	3680
466	3217	3672
467	3224	3664
468	3231	3658
469	3237	3651
470	3244	3643
471	3250	3635
472	3257	3629
473	3264	3622
474	3270	3614
475	3276	3607
476	3282	3599
477	3288	3591
478	3296	3585
479	3302	3577
480	3309	3570
481	3315	3562
482	3321	3555
483	3327	3547
484	3333	3539
485	3339	3532
486	3346	3524
487	3353	3518
488	3359	3510
489	3366	3503
490	3372	3496
491	3378	3488
492	3384	3480
493	3390	3473
494	3397	3465
495	3403	3458
496	3409	3451
497	3416	3443
498	3422	3435
499	3428	3428
500	3434	3420
501	3440	3413
502	3447	3406
503	3453	3398
504	3459	3391
505	3466	3384
506	3472	3376
507	3478	3369
508	3484	3361
509	3490	3353
510	3497	3346
511	3503	3338
512	3509	3331
513	3515	3324
514	3521	3316
515	3527	3309
516	3533	3301
517	3539	3293
518	3545	3286
519	3552	3279
520	3558	3271
521	3564	3263
522	3570	3256
523	3576	3248
524	3582	3241
525	3589	3234
526	3595	3227
527	3601	3219
528	3607	3212
529	3614	3204
530	3620	3197
531	3626	3190
532	3633	3183
533	3639	3176
534	3645	3168
535	3651	3160
536	3657	3153
537	3663	3146
538	3670	3138
539	3676	3131
540	3683	3124
541	3689	3117
542	3696	3110
543	3703	3104
544	3710	3097
545	3717	3090
546	3723	3083
547	3729	3075
548	3736	3069
549	3741	3061
550	3748	3054
551	3754	3047
552	3760	3039
553	3766	3032
554	3772	3024
555	3778	3017
556	3784	3010
557	3790	3002
558	3796	2995
559	3803	2988
560	3810	2981
561	3816	2974
562	3822	2967
563	3829	2960
564	3835	2953
565	3841	2945
566	3848	2938
567	3854	2931
568	3860	2924
569	3866	2916
570	3872	2909
571	3879	2902
572	3885	2895
573	3891	2888
574	3898	2881
575	3904	2874
576	3910	2867
577	3917	2859
578	3923	2852
579	3929	2845
580	3936	2838
581	3943	2832
582	3949	2824
583	3955	2817
584	3961	2810
585	3967	2803
586	3973	2795
587	3980	2788
588	3986	2781
589	3993	2775
590	3999	2767
591	4005	2760
592	4011	2753
593	4018	2746
594	4025	2739
595	4030	2732
596	4036	2725
597	4043	2718
598	4050	2711
599	4056	2704
600	4062	2697
601	4069	2690
602	4075	2682
603	4082	2676
604	4088	2669
605	4094	2662
606	4100	2655
607	4107	2648
608	4114	2641
609	4120	2634
610	4127	2627
611	4133	2620
612	4140	2613
613	4150	2609
614	4156	2601
615	4162	2594
616	4168	2587
617	4175	2581
618	4181	2574
619	4188	2567
620	4195	2560
621	4201	2553
622	4207	2546
623	4214	2539
624	4220	2532
625	4226	2524
626	4232	2517
627	4238	2510
628	4245	2503
629	4251	2496
630	4258	2490
631	4265	2483
632	4271	2476
633	4277	2469
634	4284	2462
635	4290	2455
636	4296	2448
637	4302	2441
638	4309	2434
639	4315	2427
640	4321	2420
641	4328	2413
642	4334	2406
643	4340	2399
644	4347	2392
645	4354	2385
646	4360	2378
647	4366	2371
648	4372	2364
649	4378	2357
650	4384	2350
651	4391	2343
652	4397	2337
653	4404	2329
654	4410	2322
655	4416	2315
656	4422	2308
657	4428	2301
658	4434	2294
659	4441	2288
660	4447	2280
661	4453	2274
662	4460	2267
663	4466	2260
664	4473	2253
665	4479	2246
666	4485	2239
667	4491	2232
668	4498	2225
669	4504	2218
670	4510	2211
671	4516	2204
672	4522	2197
673	4528	2190
674	4534	2183
675	4540	2176
676	4547	2169
677	4553	2162
678	4559	2155
679	4565	2148
680	4571	2141
681	4577	2134
682	4583	2127
683	4589	2120
684	4599	2115
685	4606	2108
686	4612	2101
687	4618	2094
688	4625	2087
689	4631	2080
690	4637	2073
691	4643	2066
692	4650	2059
693	4656	2053
694	4662	2046
695	4669	2039
696	4675	2032
697	4681	2025
698	4688	2019
699	4695	2012
700	4701	2005
701	4707	1998
702	4713	1991
703	4720	1984
704	4727	1978
705	4734	1971
706	4740	1964
707	4746	1957
708	4752	1950
709	4759	1943
710	4765	1936
711	4771	1929
712	4777	1922
713	4783	1916
714	4789	1909
715	4796	1902
716	4802	1895
717	4808	1888
718	4815	1881
719	4821	1875
720	4827	1868
721	4834	1861
722	4840	1854
723	4846	1847
724	4852	1840
725	4859	1834
726	4866	1827
727	4872	1820
728	4878	1813
729	4884	1806
730	4891	1799
731	4897	1792
732	4903	1786
733	4909	1779
734	4916	1772
735	4922	1765
736	4928	1758
737	4934	1751
738	4941	1745
739	4948	1738
740	4955	1732
741	4961	1725
742	4967	1718
743	4973	1711
744	4979	1704
745	4985	1697
746	4992	1690
747	4998	1683
748	5004	1677
749	5010	1670
750	5017	1663
751	5023	1656
752	5029	1649
753	5036	1643
754	5042	1636
755	5049	1629
756	5056	1623
757	5063	1616
758	5069	1609
759	5076	1603
760	5082	1596
761	5088	1589
762	5094	1582
763	5102	1576
764	5109	1569
